trial_id,model,task_id,layout,repeat,pixel_distance,dom_element_separation,delimitation_error,exact_match,content_category,run_id
7daeb1e6c2c15ab6c0eb8ffd,foundry/gpt-5.4,read-known-value,form,9,112.609375,6,False,True,correct_content,REV-boundary-cues-7daeb1e6c2c15ab6c0eb8ffd-A0
ba7dd9c4c0765bc20c9eb3c5,foundry/gpt-5.6-terra,read-known-value,cards,6,112.609375,4,False,True,correct_content,REV-boundary-cues-ba7dd9c4c0765bc20c9eb3c5-A0
89eef7508755eff95b705165,foundry/Kimi-K2.6,read-known-value,cards,7,112.609375,4,False,True,correct_content,REV-boundary-cues-89eef7508755eff95b705165-A0
79d0f0618ef7fbb5a4b3f684,foundry/gpt-5.6-terra,read-known-value,form,8,112.609375,6,False,True,correct_content,REV-boundary-cues-79d0f0618ef7fbb5a4b3f684-A0
034f6129846bb605342429f1,foundry/Kimi-K2.6,read-known-value,form,10,112.609375,6,False,True,correct_content,REV-boundary-cues-034f6129846bb605342429f1-A0
606af174d314da39f39f726a,foundry/gpt-5.4,copy-known-value,form,4,110.25,6,False,False,no_answer,REV-boundary-cues-606af174d314da39f39f726a-A0
280dd100da2e8d7d3fe7ade7,foundry/gpt-5.4,read-known-value,cards,10,112.609375,4,False,True,correct_content,REV-boundary-cues-280dd100da2e8d7d3fe7ade7-A0
b2f99945f5a48e790608698d,foundry/gpt-5.4,read-known-value,cards,6,112.609375,4,False,True,correct_content,REV-boundary-cues-b2f99945f5a48e790608698d-A0
67042311a63834f79d366b40,foundry/gpt-5.6-terra,read-known-value,form,4,112.609375,6,False,True,correct_content,REV-boundary-cues-67042311a63834f79d366b40-A0
96ffde01d36f5894d2583215,foundry/gpt-5.6-terra,copy-known-value,form,7,110.25,6,False,True,correct_content,REV-boundary-cues-96ffde01d36f5894d2583215-A0
8f941fc7d79ef943cbf31290,foundry/gpt-5.6-terra,read-known-value,table,6,106.609375,4,False,True,correct_content,REV-boundary-cues-8f941fc7d79ef943cbf31290-A0
0752735f7a8da67f35a16dde,foundry/gpt-5.4,copy-known-value,cards,4,110.25,4,False,True,correct_content,REV-boundary-cues-0752735f7a8da67f35a16dde-A0
0ca41fb26df34fbabb10ac56,foundry/gpt-5.6-terra,copy-known-value,cards,6,110.25,4,False,True,correct_content,REV-boundary-cues-0ca41fb26df34fbabb10ac56-A0
9da0665cab3212d3fc139841,foundry/Kimi-K2.6,read-known-value,table,2,106.609375,4,False,True,correct_content,REV-boundary-cues-9da0665cab3212d3fc139841-A0
fb94199efce5d3dcc2a81f1a,foundry/gpt-5.4,read-known-value,form,7,112.609375,6,False,True,correct_content,REV-boundary-cues-fb94199efce5d3dcc2a81f1a-A0
cd3510991980c7d7b12ca548,foundry/gpt-5.4,read-known-value,cards,8,112.609375,4,False,True,correct_content,REV-boundary-cues-cd3510991980c7d7b12ca548-A0
8754cf036d7263bff6f86545,foundry/gpt-5.4,copy-known-value,cards,2,110.25,4,False,False,no_answer,REV-boundary-cues-8754cf036d7263bff6f86545-A0
d10a05b0ff726fc8af644d05,foundry/gpt-5.6-terra,read-known-value,cards,7,112.609375,4,False,True,correct_content,REV-boundary-cues-d10a05b0ff726fc8af644d05-A0
6066aa41ebb80e7c0772e683,foundry/Kimi-K2.6,copy-known-value,table,7,104.25,4,False,True,correct_content,REV-boundary-cues-6066aa41ebb80e7c0772e683-A0
80d2b1ad5f79637d324c9f0e,foundry/gpt-5.6-terra,read-known-value,table,3,106.609375,4,False,True,correct_content,REV-boundary-cues-80d2b1ad5f79637d324c9f0e-A0
11248a14a988768dd350b226,foundry/gpt-5.4,read-known-value,form,6,112.609375,6,False,True,correct_content,REV-boundary-cues-11248a14a988768dd350b226-A0
b2c1ef9dbc2e8fadc6c678ea,foundry/gpt-5.6-terra,copy-known-value,form,3,110.25,6,False,True,correct_content,REV-boundary-cues-b2c1ef9dbc2e8fadc6c678ea-A0
dd7cc01f48f9fd80ffe48c2e,foundry/gpt-5.6-terra,copy-known-value,form,6,110.25,6,False,True,correct_content,REV-boundary-cues-dd7cc01f48f9fd80ffe48c2e-A0
cff2ea0f0c30caf43d7acf17,foundry/gpt-5.4,copy-known-value,form,2,110.25,6,False,True,correct_content,REV-boundary-cues-cff2ea0f0c30caf43d7acf17-A0
a5f721a10aba0fcf9b767c3f,foundry/gpt-5.4,read-known-value,cards,3,112.609375,4,False,True,correct_content,REV-boundary-cues-a5f721a10aba0fcf9b767c3f-A0
9b32e73c324f327ce8339920,foundry/gpt-5.4,read-known-value,form,3,112.609375,6,False,True,correct_content,REV-boundary-cues-9b32e73c324f327ce8339920-A0
064379cb3a64d92dfcaaa392,foundry/gpt-5.6-terra,copy-known-value,cards,2,110.25,4,False,True,correct_content,REV-boundary-cues-064379cb3a64d92dfcaaa392-A0
f55e8961e64c2626d29faa25,foundry/Kimi-K2.6,read-known-value,table,10,106.609375,4,False,True,correct_content,REV-boundary-cues-f55e8961e64c2626d29faa25-A0
72c050bffea172e251158812,foundry/gpt-5.6-terra,read-known-value,form,9,112.609375,6,False,True,correct_content,REV-boundary-cues-72c050bffea172e251158812-A0
40f96d41509096ccb8beb167,foundry/gpt-5.4,read-known-value,form,1,112.609375,6,False,True,correct_content,REV-boundary-cues-40f96d41509096ccb8beb167-A0
8f4c4a67aff806b869ddcba7,foundry/gpt-5.6-terra,copy-known-value,table,1,104.25,4,False,True,correct_content,REV-boundary-cues-8f4c4a67aff806b869ddcba7-A0
378ecd1a19ac1d0289f55a55,foundry/gpt-5.6-terra,read-known-value,form,10,112.609375,6,False,True,correct_content,REV-boundary-cues-378ecd1a19ac1d0289f55a55-A0
e4782be51ac765ad69d6ed10,foundry/Kimi-K2.6,copy-known-value,cards,4,110.25,4,False,False,correct_content,REV-boundary-cues-e4782be51ac765ad69d6ed10-A0
150cab6825f78eb72f696350,foundry/gpt-5.4,copy-known-value,form,1,110.25,6,False,False,no_answer,REV-boundary-cues-150cab6825f78eb72f696350-A0
9f0167094a1856ed477df18f,foundry/gpt-5.4,read-known-value,table,10,106.609375,4,False,True,correct_content,REV-boundary-cues-9f0167094a1856ed477df18f-A0
37a3131bd67e74b1c2c14515,foundry/gpt-5.4,copy-known-value,table,9,104.25,4,False,True,correct_content,REV-boundary-cues-37a3131bd67e74b1c2c14515-A0
327d5d62480a3826b5dd4c87,foundry/gpt-5.6-terra,copy-known-value,table,6,104.25,4,False,True,correct_content,REV-boundary-cues-327d5d62480a3826b5dd4c87-A0
2e5497067a51a79d96392c05,foundry/gpt-5.6-terra,read-known-value,cards,5,112.609375,4,False,True,correct_content,REV-boundary-cues-2e5497067a51a79d96392c05-A0
18b5387f08d3717a4f2b59ee,foundry/Kimi-K2.6,copy-known-value,table,4,104.25,4,False,False,correct_content,REV-boundary-cues-18b5387f08d3717a4f2b59ee-A0
e2c83251a901e42c2a39990c,foundry/gpt-5.6-terra,read-known-value,table,8,106.609375,4,False,True,correct_content,REV-boundary-cues-e2c83251a901e42c2a39990c-A0
ef969fbff4b3030a75ffe054,foundry/gpt-5.4,copy-known-value,table,4,104.25,4,False,True,correct_content,REV-boundary-cues-ef969fbff4b3030a75ffe054-A0
01a3e7bd843ca154260760ec,foundry/gpt-5.6-terra,copy-known-value,form,4,110.25,6,False,True,correct_content,REV-boundary-cues-01a3e7bd843ca154260760ec-A0
b1ef98cfdd5b25a121fa65f1,foundry/gpt-5.4,copy-known-value,cards,3,110.25,4,False,True,correct_content,REV-boundary-cues-b1ef98cfdd5b25a121fa65f1-A0
7bd1d1206df566d0d6f04305,foundry/gpt-5.4,copy-known-value,form,8,110.25,6,False,False,no_answer,REV-boundary-cues-7bd1d1206df566d0d6f04305-A0
e561bc193646616a5c0cb9c1,foundry/Kimi-K2.6,copy-known-value,cards,9,110.25,4,False,True,correct_content,REV-boundary-cues-e561bc193646616a5c0cb9c1-A0
642fdfbbbbdf85390d868c64,foundry/gpt-5.4,copy-known-value,cards,6,110.25,4,False,True,correct_content,REV-boundary-cues-642fdfbbbbdf85390d868c64-A0
8722b19e0f210be5301ab9fc,foundry/gpt-5.6-terra,read-known-value,table,5,106.609375,4,False,True,correct_content,REV-boundary-cues-8722b19e0f210be5301ab9fc-A0
